method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,10,tTest,2+n,5,0.779679,0.292504
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,30,tTest,2+n,5,0.790395,0.309410
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,50,tTest,2+n,5,0.796572,0.332209
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2+n,5,0.804494,0.348898
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,200,tTest,2+n,5,0.802039,0.353596
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,10,tTest,2+n,5,0.773144,0.289700
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,30,tTest,2+n,5,0.783254,0.306424
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,50,tTest,2+n,5,0.786484,0.318880
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,100,tTest,2+n,5,0.803143,0.347160
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,200,tTest,2+n,5,0.807451,0.359351
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,10,tTest,2+n,5,0.775309,0.286499
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,30,tTest,2+n,5,0.782996,0.302694
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,50,tTest,2+n,5,0.786285,0.310375
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,100,tTest,2+n,5,0.795787,0.334136
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,200,tTest,2+n,5,0.799479,0.341712
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,10,6,10,tTest,2+n,5,0.773139,0.280972
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,10,6,30,tTest,2+n,5,0.775697,0.286571
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,10,6,50,tTest,2+n,5,0.780969,0.302664
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,10,6,100,tTest,2+n,5,0.787781,0.326456
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,10,6,200,tTest,2+n,5,0.789843,0.340133
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,10,tTest,2+n,5,0.956395,0.737917
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,30,tTest,2+n,5,0.966943,0.788393
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,50,tTest,2+n,5,0.972884,0.808014
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2+n,5,0.976607,0.829520
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,200,tTest,2+n,5,0.975615,0.830385
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,50,6,10,tTest,2+n,5,0.956626,0.735881
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,50,6,30,tTest,2+n,5,0.967022,0.782771
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,50,6,50,tTest,2+n,5,0.971796,0.806637
