method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,10,tTest,2+n,5,0.827885,0.362165
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,30,tTest,2+n,5,0.830333,0.372354
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,50,tTest,2+n,5,0.836733,0.385321
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2+n,5,0.842582,0.396553
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,200,tTest,2+n,5,0.846803,0.411185
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,50,6,10,tTest,2+n,5,0.823057,0.357319
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,50,6,30,tTest,2+n,5,0.829309,0.367693
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,50,6,50,tTest,2+n,5,0.837487,0.382513
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,50,6,100,tTest,2+n,5,0.840104,0.388018
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,50,6,200,tTest,2+n,5,0.851887,0.409829
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,10,tTest,2+n,5,0.533629,0.105268
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,30,tTest,2+n,5,0.544105,0.112010
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,50,tTest,2+n,5,0.540584,0.113740
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2+n,5,0.553158,0.121072
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,200,tTest,2+n,5,0.537396,0.106424
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,50,6,10,tTest,2+n,5,0.534468,0.107402
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,50,6,30,tTest,2+n,5,0.557440,0.119139
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,50,6,50,tTest,2+n,5,0.538494,0.112173
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,50,6,100,tTest,2+n,5,0.549636,0.114818
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,50,6,200,tTest,2+n,5,0.549381,0.125845
