method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC

enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+n,5,0.790932,0.335290
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+-n,5,0.794213,0.337078
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2-n,5,0.732228,0.235026
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2+n,5,0.972998,0.823957
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,mRMR,2n,5,0.783604,0.315504
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,adaboost,2n,5,0.795128,0.333470
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2+n,5,0.799725,0.345929
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.789073,0.333950
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,tTest,2-n,5,0.729126,0.233729
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.776510,0.305359
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.791175,0.328019
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.763484,0.268813
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.795751,0.333292
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.790546,0.334056
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.767333,0.277825
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,mRMR,2n,5,0.972725,0.801732
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,adaboost,2n,5,0.972624,0.811257
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2+n,5,0.975875,0.827126
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.973110,0.810936
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,tTest,2-n,5,0.904043,0.587829
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.965324,0.775374
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.973041,0.811375
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.944527,0.699679
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.973094,0.812541
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.974335,0.812144
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.945937,0.694367
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2+-n,5,0.971922,0.804869
enhancer_combined_svm,3_GATA6_prolCell_pos,3_GATA6_prolCell_nullx10,100,6,100,svm,2-n,5,0.899235,0.577397
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,mRMR,2n,5,0.794924,0.318949
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,adaboost,2n,5,0.800854,0.310248
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2+n,5,0.802302,0.327753
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2+-n,5,0.791834,0.305738
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,tTest,2-n,5,0.747463,0.241768
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2+n,5,0.795957,0.322965
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2+-n,5,0.794925,0.306581
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,infoGain,2-n,5,0.774989,0.254019
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2+n,5,0.798705,0.318919
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2+-n,5,0.798597,0.310165
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,Fisher,2-n,5,0.786860,0.270070
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2+n,5,0.804590,0.320728
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2+-n,5,0.804384,0.316752
enhancer_combined_svm,4_CDX2_prolCell_pos,4_CDX2_prolCell_nullx10,100,6,100,svm,2-n,5,0.753970,0.239102
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,mRMR,2n,5,0.866383,0.468690
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,adaboost,2n,5,0.864014,0.457684
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,tTest,2+n,5,0.882753,0.497240
enhancer_combined_svm,1_TAL1_erythroid_pos,1_TAL1_erythroid_nullx10,100,6,100,tTest,2+-n,5,0.876197,0.504424
