method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,mRMR,2n,5,0.835994,0.377631
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,adaboost,2n,5,0.836798,0.381068
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2+n,5,0.844783,0.396748
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.835283,0.374143
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,tTest,2-n,5,0.788729,0.310280
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2+n,5,0.827955,0.365640
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2+-n,5,0.836749,0.375412
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,infoGain,2-n,5,0.814856,0.347583
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2+n,5,0.832072,0.381489
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2+-n,5,0.839685,0.387186
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,Fisher,2-n,5,0.819085,0.343153
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2+n,5,0.839452,0.390254
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2+-n,5,0.841611,0.400209
enhancer_combined_svm,2_HNF4A_diffCell_pos,2_HNF4A_diffCell_nullx10,100,6,100,svm,2-n,5,0.774836,0.289858
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,mRMR,2n,5,0.536568,0.106248
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,adaboost,2n,5,0.534985,0.108263
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2+n,5,0.557674,0.124451
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.541649,0.117806
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,tTest,2-n,5,0.519748,0.104187
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,infoGain,2+n,5,0.526235,0.102222
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,infoGain,2+-n,5,0.535919,0.107158
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,infoGain,2-n,5,0.556884,0.113699
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,Fisher,2+n,5,0.544418,0.111885
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,Fisher,2+-n,5,0.538671,0.110213
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,Fisher,2-n,5,0.549084,0.111575
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,svm,2+n,5,0.555360,0.111216
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,svm,2+-n,5,0.530951,0.107238
enhancer_combined_svm,3_GATA6_diffCell_pos,3_GATA6_diffCell_nullx10,100,6,100,svm,2-n,5,0.525595,0.106040
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,mRMR,2n,5,0.846984,0.410086
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,adaboost,2n,5,0.849213,0.419038
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,tTest,2+n,5,0.855225,0.430040
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.848459,0.425685
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,tTest,2-n,5,0.808411,0.350102
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,infoGain,2+n,5,0.836413,0.400839
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,infoGain,2+-n,5,0.849742,0.412324
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,infoGain,2-n,5,0.828729,0.377207
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,Fisher,2+n,5,0.853788,0.436834
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,Fisher,2+-n,5,0.851558,0.412651
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,Fisher,2-n,5,0.834200,0.383807
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,svm,2+n,5,0.859432,0.425428
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,svm,2+-n,5,0.854734,0.422234
enhancer_combined_svm,4_CDX2_diffCell_pos,4_CDX2_diffCell_nullx10,100,6,100,svm,2-n,5,0.793608,0.333800
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,mRMR,2n,5,0.911856,0.584114
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,adaboost,2n,5,0.904593,0.560208
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,tTest,2+n,5,0.913666,0.594666
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,tTest,2+-n,5,0.904614,0.573473
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,tTest,2-n,5,0.844788,0.422875
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,infoGain,2+n,5,0.909919,0.578419
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,infoGain,2+-n,5,0.906721,0.570857
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,infoGain,2-n,5,0.865293,0.446431
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,Fisher,2+n,5,0.914247,0.589417
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,Fisher,2+-n,5,0.906437,0.566637
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,Fisher,2-n,5,0.868251,0.462182
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,svm,2+n,5,0.913284,0.584620
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,svm,2+-n,5,0.908791,0.582938
enhancer_combined_svm,1_TAL1_jurkat_pos,1_TAL1_jurkat_nullx10,100,6,100,svm,2-n,5,0.830165,0.384729
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,mRMR,2n,5,0.796281,0.308576
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,adaboost,2n,5,0.796597,0.306810
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,tTest,2+n,5,0.802222,0.310642
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,tTest,2+-n,5,0.795226,0.305066
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,tTest,2-n,5,0.783547,0.277392
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,infoGain,2+n,5,0.788358,0.297260
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,infoGain,2+-n,5,0.793247,0.295944
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,infoGain,2-n,5,0.794342,0.292127
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,Fisher,2+n,5,0.792898,0.300178
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,Fisher,2+-n,5,0.794091,0.298405
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,Fisher,2-n,5,0.802536,0.294228
enhancer_combined_svm,10_H3K4me2_diffCell_pos,10_H3K4me2_diffCell_nullx10,100,6,100,svm,2+n,5,0.797625,0.295173
