method,pos_file,neg_file,no_selected_kmers,kmers_length,combination_distance, preselect_method,svm_select_method,no_fold,ROC AUC,PR AUC
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,10,svm,2+n,5,0.777522,0.289821
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,10,svm,2+-n,5,0.777110,0.291026
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,10,svm,2-n,5,0.771849,0.285617
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,30,svm,2+n,5,0.783512,0.301802
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,30,svm,2+-n,5,0.778882,0.295041
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,30,svm,2-n,5,0.760891,0.268994
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,50,svm,2+n,5,0.780094,0.307520
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,50,svm,2+-n,5,0.784823,0.313056
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,50,svm,2-n,5,0.750875,0.256467
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+n,5,0.786144,0.325282
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2+-n,5,0.793582,0.331135
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,100,svm,2-n,5,0.729029,0.226152
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,200,svm,2+n,5,0.788638,0.331717
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,200,svm,2+-n,5,0.799962,0.347007
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,100,6,200,svm,2-n,5,0.716079,0.207223
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,10,svm,2+n,5,0.775472,0.285347
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,10,svm,2+-n,5,0.778367,0.289544
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,10,svm,2-n,5,0.768475,0.282246
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,30,svm,2+n,5,0.782215,0.301804
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,30,svm,2+-n,5,0.780729,0.296962
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,30,svm,2-n,5,0.765043,0.279578
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,50,svm,2+n,5,0.793480,0.321902
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,50,svm,2+-n,5,0.783210,0.308843
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,50,svm,2-n,5,0.766970,0.280487
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,100,svm,2+n,5,0.800503,0.345539
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,100,svm,2+-n,5,0.792591,0.337694
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,100,svm,2-n,5,0.756086,0.263055
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,200,svm,2+n,5,0.801388,0.352789
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,200,svm,2+-n,5,0.796716,0.335583
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,50,6,200,svm,2-n,5,0.733928,0.245697
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,10,svm,2+n,5,0.775019,0.287430
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,10,svm,2+-n,5,0.771498,0.280746
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,10,svm,2-n,5,0.775104,0.290619
enhancer_combined_svm,2_HNF4A_prolCell_pos,2_HNF4A_prolCell_nullx10,30,6,30,svm,2+n,5,0.779981,0.296592
